Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,114428211,1465.8423930228466,2704885,34.649978939648065,348281,2543755,32.585879687167626,62697,0.8031578901059061,7807,
United States of America,Americas,28345585,8563.55,462025,139.58,50776,510924,154.36,14074,4.25,1279,Community transmission
India,South-East Asia,11139516,807.21,109340,7.92,14989,157346,11.4,779,0.06,98,Clusters of cases
Brazil,Americas,10587001,4980.73,391841,184.34,35742,255720,120.31,8577,4.04,778,Community transmission
Russian Federation,Europe,4278750,2931.97,77848,53.34,10535,87348,59.85,2918,2,452,Clusters of cases
The United Kingdom,Europe,4188404,6169.76,53761,79.19,6391,123296,181.62,1991,2.93,343,Community transmission
France,Europe,3717272,5694.92,150442,230.48,22148,86771,132.93,2150,3.29,410,Community transmission
Spain,Europe,3130184,6694.9,32546,69.61,2662,69801,149.29,686,1.47,22,Community transmission
Italy,Europe,2955434,4888.1,123272,203.88,17063,98288,162.56,1940,3.21,343,Clusters of cases
Turkey,Europe,2723316,3229.01,67683,80.25,11837,28706,34.04,493,0.58,68,Community transmission
Germany,Europe,2460030,2936.16,57212,68.29,9019,70881,84.6,2141,2.56,418,Community transmission
Colombia,Americas,2255260,4432.26,25597,50.31,3570,59866,117.65,892,1.75,100,Community transmission
Argentina,Americas,2118676,4687.77,41448,91.71,6653,52192,115.48,682,1.51,115,Community transmission
Mexico,Americas,2089281,1620.44,45649,35.41,2343,186152,144.38,5616,4.36,437,Community transmission
Poland,Europe,1735406,4585.37,74297,196.31,15698,44360,117.21,1552,4.1,352,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1648174,1962.28,57569,68.54,8495,60267,71.75,604,0.72,86,Community transmission
South Africa,Africa,1514815,2554.12,9229,15.56,856,50271,84.76,858,1.45,194,Community transmission
Ukraine,Europe,1364705,3120.48,47011,107.49,7235,26397,60.36,936,2.14,185,Community transmission
Indonesia,South-East Asia,1347026,492.47,48418,17.7,5712,36518,13.35,1504,0.55,193,Community transmission
Peru,Americas,1332939,4042.66,46182,140.06,3134,46685,141.59,1422,4.31,191,Community transmission
Czechia,Europe,1269058,11850.41,84706,790.98,16816,20941,195.55,1259,11.76,240,Community transmission
Netherlands,Europe,1096433,6398.84,31984,186.66,4032,15649,91.33,309,1.8,66,Community transmission
Canada,Americas,870033,2305.2,20516,54.36,3530,22017,58.34,294,0.78,23,Community transmission
Chile,Americas,832512,4355.01,27195,142.26,2742,20684,108.2,533,2.79,24,Community transmission
Romania,Europe,808040,4200.3,23329,121.27,3950,20509,106.61,496,2.58,106,Community transmission
Portugal,Europe,805647,7901.05,6541,64.15,691,16389,160.73,303,2.97,38,Clusters of cases
Israel,Europe,781888,9033.39,25826,298.38,4809,5778,66.75,159,1.84,19,Community transmission
Belgium,Europe,774344,6681.36,11700,100.95,2,22141,191.04,157,1.35,5,Community transmission
Iraq,Eastern Mediterranean,703778,1749.71,27796,69.11,4690,13458,33.46,147,0.37,30,Community transmission
Sweden,Europe,669113,6625.36,27018,267.52,2843,12882,127.55,26,0.26,3,Community transmission
Pakistan,Eastern Mediterranean,582528,263.72,9144,4.14,1163,12938,5.86,280,0.13,42,Community transmission
Philippines,Western Pacific,580442,529.69,15577,14.22,2061,12369,11.29,262,0.24,47,Community transmission
Switzerland,Europe,555969,6423.95,5486,63.39,8,9251,106.89,37,0.43,1,Community transmission
Bangladesh,South-East Asia,547316,332.33,3200,1.94,515,8423,5.11,49,0.03,7,Community transmission
Morocco,Eastern Mediterranean,484159,1311.71,2450,6.64,393,8645,23.42,71,0.19,8,Clusters of cases
Serbia,Europe,466885,6704.49,24032,345.1,4157,4475,64.26,109,1.57,16,Community transmission
Austria,Europe,459186,5098.44,14655,162.72,2648,8456,93.89,139,1.54,26,Community transmission
Hungary,Europe,439900,4553.66,29771,308.18,4211,15324,158.63,772,7.99,136,Community transmission
Japan,Western Pacific,434356,343.43,6889,5.45,852,7984,6.31,400,0.32,51,Clusters of cases
Jordan,Eastern Mediterranean,402282,3942.73,29865,292.7,5124,4756,46.61,167,1.64,29,Community transmission
United Arab Emirates,Eastern Mediterranean,396771,4011.68,21236,214.71,2721,1253,12.67,108,1.09,15,Community transmission
Lebanon,Eastern Mediterranean,380019,5567.68,20699,303.26,3098,4805,70.4,359,5.26,62,Community transmission
Saudi Arabia,Eastern Mediterranean,378002,1085.78,2334,6.7,302,6505,18.69,35,0.1,5,Sporadic cases
Panama,Americas,341420,7912.83,4333,100.42,505,5858,135.77,102,2.36,13,Community transmission
Slovakia,Europe,314359,5757.87,16022,293.46,3357,7489,137.17,714,13.08,101,Clusters of cases
Malaysia,Western Pacific,304135,939.67,15906,49.14,1555,1141,3.53,65,0.2,6,Clusters of cases
Belarus,Europe,289136,3059.86,8708,92.15,869,1993,21.09,63,0.67,8,Community transmission
Ecuador,Americas,286725,1625.14,10945,62.04,358,15850,89.84,283,1.6,18,Community transmission
Nepal,South-East Asia,274294,941.4,628,2.16,78,2777,9.53,712,2.44,0,Clusters of cases
Georgia,Europe,271739,6811.92,2301,57.68,360,3541,88.77,78,1.96,9,Community transmission
Kazakhstan,Europe,264178,1406.95,4700,25.03,0,3389,18.05,78,0.42,0,Clusters of cases
Bulgaria,Europe,252029,3627.13,11638,167.49,2403,10391,149.54,413,5.94,83,Clusters of cases
Bolivia (Plurinational State of),Americas,249767,2139.69,6591,56.46,757,11666,99.94,196,1.68,17,Community transmission
Croatia,Europe,244205,5948.58,3157,76.9,747,5555,135.31,78,1.9,7,Community transmission
Dominican Republic,Americas,240201,2214.26,3991,36.79,203,3118,28.74,61,0.56,12,Community transmission
Azerbaijan,Europe,235014,2317.88,1590,15.68,0,3225,31.81,21,0.21,0,Clusters of cases
Tunisia,Eastern Mediterranean,234231,1981.88,4450,37.65,562,8047,68.09,204,1.73,25,Community transmission
Ireland,Europe,220630,4468.2,4330,87.69,357,4333,87.75,152,3.08,14,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,212485,4165.22,12716,249.26,2412,2281,44.71,81,1.59,6,Community transmission
Denmark,Europe,212224,3663.96,3668,63.33,532,2367,40.87,24,0.41,2,Community transmission
Costa Rica,Americas,205086,4025.94,2412,47.35,180,2812,55.2,30,0.59,6,Community transmission
Lithuania,Europe,200349,7359.58,3437,126.25,524,3281,120.52,78,2.87,18,Community transmission
Greece,Europe,194582,1866.84,11799,113.2,2312,6557,62.91,214,2.05,23,Community transmission
Kuwait,Eastern Mediterranean,193372,4528.01,7368,172.53,1341,1092,25.57,35,0.82,7,Community transmission
Slovenia,Europe,191056,9190.08,5236,251.86,729,4124,198.37,31,1.49,4,Clusters of cases
Republic of Moldova,Europe,187847,4656.64,9307,230.72,1400,4002,99.21,179,4.44,27,Community transmission
Egypt,Eastern Mediterranean,183591,179.4,4184,4.09,581,10778,10.53,335,0.33,42,Clusters of cases
Guatemala,Americas,174653,974.87,2581,14.41,0,6402,35.73,87,0.49,0,Community transmission
Armenia,Europe,172816,5831.99,1871,63.14,360,3202,108.06,27,0.91,2,Community transmission
Honduras,Americas,170985,1726.32,5248,52.99,681,4174,42.14,149,1.5,23,Community transmission
Qatar,Eastern Mediterranean,164600,5713.19,3256,113.01,463,259,8.99,2,0.07,0,Community transmission
Ethiopia,Africa,160813,139.88,6556,5.7,841,2386,2.08,81,0.07,13,Community transmission
Paraguay,Americas,160448,2249.52,7790,109.22,974,3198,44.84,118,1.65,17,Community transmission
Nigeria,Africa,156496,75.92,3309,1.61,479,1923,0.93,49,0.02,8,Community transmission
Oman,Eastern Mediterranean,142169,2784.01,2180,42.69,361,1580,30.94,23,0.45,3,Community transmission
Myanmar,South-East Asia,141965,260.92,182,0.33,49,3199,5.88,2,0,0,Clusters of cases
Venezuela (Bolivarian Republic of),Americas,139545,490.73,3000,10.55,429,1348,4.74,28,0.1,4,Community transmission
Libya,Eastern Mediterranean,134967,1964.22,4266,62.08,840,2216,32.25,91,1.32,6,Community transmission
Bosnia and Herzegovina,Europe,133088,4056.55,3912,119.24,727,5145,156.82,111,3.38,29,Community transmission
Bahrain,Eastern Mediterranean,123531,7259.8,4326,254.24,492,453,26.62,20,1.18,1,Clusters of cases
Algeria,Africa,113430,258.67,1151,2.62,175,2991,6.82,24,0.05,4,Community transmission
Albania,Europe,108823,3781.47,6517,226.46,892,1835,63.76,139,4.83,19,Clusters of cases
Kenya,Africa,106470,198.01,1970,3.66,345,1863,3.46,26,0.05,4,Community transmission
North Macedonia,Europe,103746,4979.7,3829,183.79,726,3151,151.24,66,3.17,7,Community transmission
China,Western Pacific,101968,6.93,218,0.01,23,4845,0.33,3,0,0,Clusters of cases
Puerto Rico,Americas,100735,3521.15,1259,44.01,151,2040,71.31,54,1.89,3,Community transmission
Republic of Korea,Western Pacific,90816,177.14,2696,5.26,444,1612,3.14,36,0.07,6,Clusters of cases
Latvia,Europe,87103,4617.91,4641,246.05,645,1638,86.84,68,3.61,17,Community transmission
Kyrgyzstan,Europe,86356,1323.63,331,5.07,48,1468,22.5,8,0.12,1,Clusters of cases
Ghana,Africa,84023,270.41,2778,8.94,0,607,1.95,23,0.07,0,Community transmission
Sri Lanka,South-East Asia,83870,391.67,2861,13.36,318,483,2.26,30,0.14,7,Clusters of cases
Uzbekistan,Europe,80006,239.04,257,0.77,45,622,1.86,0,0,0,Clusters of cases
Zambia,Africa,79557,432.75,3975,21.62,555,1104,6.01,64,0.35,6,Community transmission
Montenegro,Europe,76867,12238.68,2676,426.07,0,1015,161.61,39,6.21,0,Clusters of cases
Norway,Europe,71733,1323.18,2975,54.88,731,623,11.49,15,0.28,0,Clusters of cases
Kosovo[1],Europe,70168,3771.7,3203,172.17,488,1606,86.33,37,1.99,8,Community transmission
Estonia,Europe,69193,5216.07,8718,657.2,1454,615,46.36,58,4.37,10,Clusters of cases
Singapore,Western Pacific,59956,1024.83,73,1.25,8,29,0.5,0,0,0,Sporadic cases
Mozambique,Africa,59914,191.69,3319,10.62,307,665,2.13,59,0.19,12,Community transmission
El Salvador,Americas,59866,922.97,631,9.73,0,1869,28.82,54,0.83,8,Community transmission
Finland,Europe,58645,1058.44,4113,74.23,0,755,13.63,21,0.38,0,Community transmission
Uruguay,Americas,58589,1686.63,5279,151.97,595,611,17.59,28,0.81,3,Community transmission
Afghanistan,Eastern Mediterranean,55770,143.26,106,0.27,11,2446,6.28,10,0.03,0,Clusters of cases
Luxembourg,Europe,55632,8887.21,1278,204.16,152,641,102.4,12,1.92,2,Community transmission
Cuba,Americas,51587,455.45,5390,47.59,997,328,2.9,24,0.21,4,Community transmission
Uganda,Africa,40395,88.31,152,0.33,28,334,0.73,1,0,0,Community transmission
Namibia,Africa,39182,1542.05,1286,50.61,149,430,16.92,19,0.75,2,Community transmission
Zimbabwe,Africa,36148,243.21,238,1.6,33,1472,9.9,24,0.16,4,Community transmission
Cameroon,Africa,35714,134.54,1965,7.4,0,551,2.08,28,0.11,0,Community transmission
Cyprus,Europe,35297,2923.49,1730,143.29,288,232,19.22,2,0.17,1,Clusters of cases
Senegal,Africa,34732,207.43,1490,8.9,0,880,5.26,48,0.29,0,Community transmission
Côte d’Ivoire,Africa,32791,124.31,667,2.53,0,193,0.73,5,0.02,0,Community transmission
Malawi,Africa,32148,168.05,1042,5.45,140,1044,5.46,20,0.1,0,Community transmission
Botswana,Africa,30727,1306.63,3006,127.83,0,332,14.12,32,1.36,0,Community transmission
Sudan,Eastern Mediterranean,30479,69.51,195,0.44,36,1895,4.32,17,0.04,3,Community transmission
Australia,Western Pacific,28986,113.67,49,0.19,8,909,3.56,0,0,0,Clusters of cases
